account_name,broker_name,exchange,symbol,company_name,isin,transaction_type,trade_date,quantity,price,charges,notes
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,155,130.34,60.41,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,50,130.34,19.49,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,15,130.34,5.85,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,75,130.35,29.23,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,295,130.35,114.99,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,610,130.34,267.09,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,30,130.34,11.69,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ADAPOW,ADANI POWER LIMITED,INE814H01029,BUY,2024-09-04,270,130.34,105.23,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,BURKIN,RESTAURANT BRANDS ASIA LIMITED,INE07T201019,BUY,2023-08-01,450,116.00,164.28,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,COALIN,COAL INDIA LIMITED,INE522F01014,BUY,2025-02-27,140,359.00,158.14,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2024-09-04,500,142.87,243.62,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2024-09-04,425,142.87,181.58,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2024-09-04,475,142.87,202.93,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,136,69.54,28.33,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,11,69.56,2.29,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,44,69.53,9.17,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,205,69.58,50.03,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,122,69.59,25.43,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,BSE,DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,BUY,2025-02-25,182,69.55,37.92,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,HDFBAN,HDFC BANK LIMITED,INE040A01034,BUY,2023-11-12,67,1499.40,315.15,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,HDFBAN,HDFC BANK LIMITED,INE040A01034,BUY,2024-01-25,70,1428.95,313.85,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,HDFBAN,HDFC BANK LIMITED,INE040A01034,BUY,2025-08-29,137,0.00,0.00,"Imported from broker transaction history (icicidirect), segment TT, STT Not Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,BUY,2004-04-05,102,295.00,0.00,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,BUY,2004-04-05,740,59.00,0.00,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,BUY,2006-10-02,250,0.00,0.00,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
