"account_name","broker_name","exchange","symbol","company_name","isin","quantity","average_price","as_of_date","notes"
"Sesha","Manual","NSE","ADAPOW","ADANI POWER LIMITED","INE814H01029","1500","211.31","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","BURKIN","RESTAURANT BRANDS ASIA LIMITED","INE07T201019","450","66.64","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","COALIN","COAL INDIA LIMITED","INE522F01014","339","414.15","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","DHABIO","DHAMPUR BIO ORGANICS LIMITED","INE0I3401014","2100","97.88","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","GOLDEX","NIPPON INDIA ETF GOLD BEES","INF204KB17I5","8583","117.11","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","HDFBAN","HDFC BANK LIMITED","INE040A01034","274","748.15","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","HDFSEN","HDFC BSE SENSEX  ETF","INF179KC1HX2","5045","88.43","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","HDFSIL","HDFC SILVER ETF","INF179KC1DI2","1000","206.6","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","ICIBAN","ICICI BANK LIMITED","INE090A01021","695","1435.4","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","IDFBAN","IDFC FIRST BANK LIMITED","INE092T01019","9774","84.68","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","IRIBUS","IRIS REGTECH SOLUTIONS LIMITED","INE864K01010","450","248.2","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","ITC","ITC LIMITED","INE154A01025","1044","281","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","ITCHOT","ITC HOTELS LIMITED","INE379A01028","104","162.37","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","JIOFIN","JIO FINANCIAL SERVICES LIMITED","INE758E01017","4200","256.46","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","LANCON","LANCER CONTAINER LINES LIMITED","INE359U01028","3000","10.16","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","NIFBEE","NIPPON INDIA ETF NIFTY 50 BEES","INF204KB14I2","733","277.42","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","NIFJUN","NIPPON IND ETF NIFNXT50 JR BEE","INF732E01045","135","795.65","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","NIPSIL","NIPPON INDIA SILVER ETF","INF204KC1402","83","206.51","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","PRAHOM","PRAXIS HOME RETAIL LIMITED","INE546Y01022","5000","6.13","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","RELIND","RELIANCE INDUSTRIES","INE002A01018","50","1307.8","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","SBINIF","SBI-ETF NIFTY 50","INF200KA1FS1","269","262.43","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","SBIS50","SBI  ETF SENSEX NEXT 50","INF200KA1VQ2","350","959.98","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","SBISEN","SBI MUTUAL FUND SBI SENSEX ETF","INF200K01VT2","614","869.21","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","SCHA","S CHAND AND COMPANY LIMITED","INE807K01035","1650","142.74","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","SHEFOA","SHEELA FOAM LIMITED","INE916U01025","215","783.8","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","STAHEA","STAR HEALTH ALLIED INS CO LTD","INE575P01011","70","601","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
"Sesha","Manual","NSE","TATPOW","TATA POWER CO LTD","INE245A01021","961","380.7","2026-08-02","Imported from broker portfolio export dated 2026-08-02"
