account_name,broker_name,exchange,symbol,company_name,isin,quantity,average_price,as_of_date,notes
Sesha,icicidirect,NSE,ADAPOW,"ADANI POWER LIMITED",INE814H01029,1500.0000,130.7518,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,BURKIN,"RESTAURANT BRANDS ASIA LIMITED",INE07T201019,450.0000,116.3651,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,COALIN,"COAL INDIA LIMITED",INE522F01014,140.0000,360.1296,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,DHABIO,"DHAMPUR BIO ORGANICS LIMITED",INE0I3401014,2100.0000,118.8063,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,HDFBAN,"HDFC BANK LIMITED",INE040A01034,274.0000,733.9974,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,ICIBAN,"ICICI BANK LIMITED",INE090A01021,695.0000,143.9444,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,IDFBAN,"IDFC FIRST BANK LIMITED",INE092T01019,9774.0000,50.9503,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,IRIBUS,"IRIS REGTECH SOLUTIONS LIMITED",INE864K01010,450.0000,323.1585,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,ITC,"ITC LIMITED",INE154A01025,1044.0000,210.1168,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,ITCHOT,"ITC HOTELS LIMITED",INE379A01028,104.0000,288.0838,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,JIOFIN,"JIO FINANCIAL SERVICES LIMITED",INE758E01017,4200.0000,244.9515,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,LANCON,"LANCER CONTAINER LINES LIMITED",INE359U01028,3000.0000,16.9731,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,PRAHOM,"PRAXIS HOME RETAIL LIMITED",INE546Y01022,5000.0000,19.9657,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,RELIND,"RELIANCE INDUSTRIES",INE002A01018,50.0000,1294.0604,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,SCHA,"S CHAND AND COMPANY LIMITED",INE807K01035,1650.0000,212.9112,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,SHEFOA,"SHEELA FOAM LIMITED",INE916U01025,215.0000,929.1361,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,STAHEA,"STAR HEALTH ALLIED INS CO LTD",INE575P01011,70.0000,652.0416,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
Sesha,icicidirect,NSE,TATPOW,"TATA POWER CO LTD",INE245A01021,961.0000,106.0127,2026-08-20,"True average cost reconstructed via FIFO from full icicidirect trade history, corrected 2026-08-20"
